#x,y,z,qx,qy,qz,qw
-0.0019516498,-0.0016928911,0.012165338,-0.002787431,-0.00024060326,0.0012263797,0.9999953
-0.0020413324,-0.0016921759,0.01214838,-0.0026838395,-0.00017339288,0.0013250331,0.99999547
-0.0021187477,-0.001688838,0.012124121,-0.002554343,-0.00013855958,0.0013883195,0.99999577
-0.0022029467,-0.0016884804,0.012102187,-0.0026827967,-4.9471088e-05,0.0015596579,0.9999952
-0.0022836141,-0.0016885996,0.0120841265,-0.002709933,1.6194143e-06,0.0017171126,0.9999949
-0.0023619123,-0.0016794205,0.012066543,-0.0026147636,0.00011781761,0.0015789695,0.99999535
-0.0024334826,-0.0016793013,0.012043387,-0.0027120684,0.00023227543,0.001729531,0.9999948
-0.0025118552,-0.001678586,0.012022227,-0.0027573255,0.00030353272,0.0019184728,0.99999434
-0.002577737,-0.0016778708,0.011997759,-0.0025960563,0.0003279749,0.0018253664,0.9999949
-0.002647452,-0.0016788244,0.011973619,-0.0026715263,0.00042163493,0.0018629004,0.99999464
-0.0027133487,-0.0016919374,0.011945844,-0.0026540079,0.00040495375,0.0018354174,0.9999947
-0.0027784407,-0.0017033815,0.01191026,-0.002747642,0.000549484,0.0018586927,0.99999434
-0.0028396994,-0.0017009974,0.011878431,-0.002698355,0.00063644507,0.0017535273,0.99999464
-0.0029039346,-0.0016986132,0.011851549,-0.0027256163,0.0008269485,0.0018004107,0.99999434
-0.0029664747,-0.0017029047,0.011827618,-0.002788935,0.0008311372,0.002002528,0.99999374
-0.0030318685,-0.0017094612,0.011790276,-0.0025974992,0.00097257714,0.0018971631,0.99999434
-0.00309306,-0.0017068386,0.0117608905,-0.002579191,0.0010356754,0.0021042258,0.9999939
-0.003156256,-0.001706481,0.011741102,-0.0024641233,0.0010634093,0.0020575656,0.9999943
-0.0032186918,-0.0017174482,0.011708349,-0.0025891478,0.0011261343,0.0020957654,0.9999938
-0.0032798871,-0.0017193556,0.011683315,-0.0025577873,0.0012710968,0.0019564216,0.999994
-0.003339596,-0.0017153025,0.011651099,-0.0025847035,0.0012574091,0.0019574347,0.9999939
-0.0034071095,-0.001722455,0.0116273165,-0.0026515394,0.0012721969,0.0019056608,0.99999386
-0.003463827,-0.001737833,0.01159817,-0.0024064167,0.0013131811,0.0014234663,0.99999523
-0.0035211965,-0.0017364025,0.011570841,-0.0023152262,0.0019792798,0.0011997767,0.99999464
-0.0035775118,-0.0017352104,0.011546016,-0.0023739927,0.0020976486,0.0015078421,0.9999938
-0.003623519,-0.0017484426,0.011521071,-0.0022682373,0.0021719127,0.0014729971,0.999994
-0.0036668256,-0.0017518997,0.011491269,-0.0022999644,0.002232142,0.0014986767,0.99999374
-0.0037165768,-0.0017597675,0.011470884,-0.0022549483,0.0023556666,0.0014572659,0.9999936
-0.0037621818,-0.0017629862,0.011442512,-0.0023787832,0.0024513765,0.0014857105,0.9999931
-0.003818009,-0.0017648935,0.011415094,-0.0023529145,0.0025410682,0.0016515051,0.99999267
-0.003855031,-0.0017669201,0.011392415,-0.0023349635,0.0025432373,0.001681062,0.9999926
-0.0038936473,-0.001765728,0.011360496,-0.002370992,0.0025469395,0.0016304024,0.9999926
-0.0039374493,-0.0017640591,0.011339664,-0.0023232333,0.0025903755,0.0017993913,0.9999923
-0.003967788,-0.0017687082,0.011321396,-0.0022490937,0.0025647476,0.0017114409,0.9999927
