x,y,z,qx,qy,qz,qw
-0.004761139,-0.003073454,-0.0010523796,-0.004495978,-0.0038915917,-5.8439753e-05,0.9999823
-0.0047901347,-0.0030971766,-0.001098603,-0.0046655964,-0.003923948,0.00039850263,0.99998134
-0.0048245117,-0.003141284,-0.001145184,-0.004950642,-0.003827558,0.00059147895,0.9999802
-0.0048600035,-0.0031738281,-0.0012071133,-0.00507012,-0.003873761,0.00089802884,0.99997926
-0.0048902435,-0.0031901598,-0.0012605786,-0.005136522,-0.003795157,0.0013437534,0.9999787
-0.0049319183,-0.0032247305,-0.0013182461,-0.0052076657,-0.0037680704,0.00149806,0.99997824
-0.0049469713,-0.0032447577,-0.0013723075,-0.0052833892,-0.0037668895,0.001473776,0.9999778
-0.0049794465,-0.0032607317,-0.0014258921,-0.0052698944,-0.003681815,0.00175024,0.99997777
-0.0050048064,-0.0032613277,-0.0014858544,-0.005238444,-0.0036182306,0.0018787144,0.99997795
-0.0050414214,-0.0032631159,-0.0015494525,-0.0053221476,-0.0035206315,0.0019474064,0.99997777
-0.005058199,-0.003267765,-0.0016109645,-0.0052800444,-0.0035901924,0.002034122,0.9999775
-0.0050869156,-0.0032777786,-0.0016760528,-0.0053397594,-0.0034890247,0.0022381046,0.9999771
-0.0051137833,-0.00327003,-0.0017420053,-0.005496265,-0.0033392634,0.0024022246,0.9999764
-0.0051372247,-0.003252864,-0.0018063486,-0.005663037,-0.0032776217,0.00249164,0.9999755
-0.0051524118,-0.0032628775,-0.001871556,-0.005593403,-0.0033004803,0.002527731,0.9999757
-0.0051663024,-0.0032490492,-0.0019414425,-0.005823706,-0.003295772,0.0028548967,0.99997354
-0.005183615,-0.0032253265,-0.0020109117,-0.005769667,-0.0033396846,0.002875564,0.9999736
-0.0051962445,-0.0032259226,-0.002072513,-0.005619364,-0.0033027448,0.0025166487,0.99997556
-0.005163038,-0.003267169,-0.0021102428,-0.0068603656,-0.0036452005,0.0021591224,0.99996746
-0.0051980885,-0.0032161474,-0.0021870732,-0.005762447,-0.0033514802,0.0020544722,0.9999757
-0.005172506,-0.003236413,-0.0022413135,-0.0069427644,-0.003635484,0.0020490948,0.99996716
-0.0051738964,-0.0032359362,-0.0022928715,-0.0072190375,-0.0037081921,0.0018359654,0.99996537
-0.0051748287,-0.0032263994,-0.002351433,-0.007105296,-0.0037292542,0.0016361342,0.99996644
-0.0051855845,-0.0032211542,-0.0024133623,-0.0070997044,-0.0037338326,0.001432351,0.9999668
-0.005184264,-0.0031843185,-0.002477616,-0.0070519247,-0.0037316976,0.0014681277,0.9999671
-0.005193374,-0.0031678677,-0.0025445223,-0.007028984,-0.003676992,0.0012925611,0.9999677
-0.005199694,-0.003162384,-0.0026041567,-0.006857204,-0.0037786576,0.0012100057,0.9999686
-0.005212418,-0.0031443834,-0.0026726127,-0.0067711235,-0.003762034,0.0012289678,0.99996924
-0.005223343,-0.0031303167,-0.0027410984,-0.006584012,-0.0036600286,0.0010965052,0.99997103
-0.0052355016,-0.0031166077,-0.0028116405,-0.006480481,-0.0036502676,0.00089237426,0.9999719
-0.0052499194,-0.0031083822,-0.0028820932,-0.0061243176,-0.0036004514,0.0006454631,0.99997455
-0.0052759508,-0.0030874014,-0.0029447973,-0.0058354535,-0.0036390491,0.0006282408,0.99997616
-0.005295296,-0.0030629635,-0.0030073225,-0.0057927943,-0.0034419694,0.0007034889,0.99997705
-0.0053091217,-0.003033042,-0.0030816197,-0.005743091,-0.003536679,0.00088892964,0.9999769
-0.0053640073,-0.0029703379,-0.0031621158,-0.004324851,-0.003012391,0.0009308935,0.9999857
-0.0053883726,-0.0029445887,-0.003227234,-0.003728449,-0.0029875024,0.000781902,0.99998826
-0.0054013394,-0.0029222965,-0.0032956004,-0.0035329268,-0.0029841212,0.0009752953,0.9999888
-0.0054298826,-0.0028904676,-0.003355682,-0.003397637,-0.0029549873,0.0011647054,0.9999892
-0.00543888,-0.002862811,-0.0034214556,-0.003281625,-0.0029331003,0.0016779217,0.9999889
-0.005458587,-0.0028568506,-0.0034763515,-0.0032552069,-0.0028746559,0.0018261133,0.9999889
-0.005477351,-0.0028368235,-0.0035431683,-0.0032739944,-0.0027546613,0.0020525195,0.99998873
-0.005487752,-0.0028090477,-0.0036093593,-0.0031691042,-0.0026693097,0.002285361,0.9999888
-0.0055038054,-0.002801776,-0.0036762953,-0.003009422,-0.0027120842,0.0024278185,0.99998885
-0.0055151936,-0.0027903318,-0.0037423372,-0.0029592891,-0.002657211,0.0025061881,0.9999889
-0.005519936,-0.002765417,-0.0038094819,-0.0031363708,-0.0024166312,0.00269335,0.99998856
-0.005522419,-0.0027509928,-0.0038760602,-0.0032302737,-0.0024673827,0.0030522598,0.99998707
-0.005520094,-0.0027375221,-0.0039432943,-0.0033685574,-0.0024498687,0.0031754754,0.99998623
-0.0055195764,-0.0027173758,-0.004015714,-0.0033610617,-0.0023864985,0.0033101633,0.99998605
-0.00552335,-0.002702117,-0.0040955544,-0.0033141593,-0.0025076547,0.00340251,0.9999856
-0.005524544,-0.002693653,-0.00416258,-0.0032309513,-0.0024526326,0.003143905,0.9999868
-0.005521274,-0.0026752949,-0.0042397976,-0.0033293767,-0.0023842931,0.0033269927,0.99998605
-0.00551372,-0.002660513,-0.004315138,-0.0035854364,-0.0023141995,0.0033274754,0.99998534
-0.0055111377,-0.0026504993,-0.00439921,-0.0037497783,-0.0023142858,0.0033732106,0.99998456
-0.0055089667,-0.0026370287,-0.0044731796,-0.0035527425,-0.0024516783,0.0029542646,0.9999863
-0.0054966575,-0.0026255846,-0.004555106,-0.0035801737,-0.002517524,0.003059394,0.9999857
-0.005443992,-0.0026634932,-0.0046167076,-0.0050737597,-0.002796124,0.0030727014,0.9999785
-0.0054281056,-0.0026530027,-0.004689306,-0.0053492263,-0.0029818048,0.0029680762,0.9999768
-0.005421266,-0.0026527643,-0.0047670603,-0.005376663,-0.0030311707,0.0026299902,0.99997747
